Reference, Value, Footprint, Datasheet
Q1,MMBT2222,bb:SOT-23,
C1,22uF,Capacitors_SMD:C_0805_HandSoldering,
C2,22uF,Capacitors_SMD:C_0805_HandSoldering,
R2,100,Resistors_SMD:R_0805_HandSoldering,
R3,47k,Resistors_SMD:R_0805_HandSoldering,
R4,47k,Resistors_SMD:R_0805_HandSoldering,
R5,100,Resistors_SMD:R_0805_HandSoldering,
R1,100k,Resistors_SMD:R_0805_HandSoldering,
D1,LED,bb:MADW__PLCC2-3528,
D2,LED,bb:MADW__PLCC2-3528,
Q3,MMBT2222,bb:SOT-23,
Q4,MMBT2222,bb:SOT-23,
Q2,MMBT2222,bb:SOT-23,
TP1,Touch_Plate,bb:TouchPlate-10mm,
BT1,Battery,bb:CR2032-SMD,
